"error_severity","event_message","id","timestamp"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","a10fea58-a502-4d7a-bfd3-4584b5c3fec3","1698115544575000"
"LOG","connection received: host=172.17.11.50 port=36460","9c031a48-0b29-40cb-bd2e-5307182a407d","1698115544549000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","04eda64e-944a-429d-88ab-aaf211da84dc","1698112436713000"
"LOG","connection authorized: user=postgres database=postgres","4034f8e4-8da9-495d-8af3-bb1f7da13715","1698112436713000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","71da3dc3-0d0e-4d79-9bae-105a56ea03bb","1698112436697000"
"LOG","connection authorized: user=postgres database=postgres","5dde12fb-13fc-48aa-81f6-072d4267cab5","1698112436697000"
"LOG","connection authorized: user=postgres database=postgres","a57cc3ce-0219-40d1-b353-20f123f424d0","1698112436590000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","6ad9696e-62df-4782-8521-7978296bcd88","1698112436590000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","9db10178-43a1-4a49-bc22-40332c3a9e2c","1698112436561000"
"LOG","connection authorized: user=postgres database=postgres","8b24f194-4bba-4b4f-a345-e1be656cd026","1698112436561000"
"LOG","connection received: host=172.17.11.87 port=37022","ac7e01a5-9e2c-46c0-bd5e-5e37cd1f7193","1698112436531000"
